approach,scenario_id,scenario_name,dominant_outcome,consistency_score,consistency_interpretation
gpt_sdd_a,4,easy_corner_goal_blocked,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_a,5,easy_two_isolated_obstacles,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_a,6,medium_straight_narrow_corridor,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_a,7,medium_s_shaped_path,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,8,medium_central_obstacle,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,9,medium_single_valid_detour,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,10,medium_dead_end_corridors,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,11,hard_maze_one_dead_end,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_a,12,hard_u_trap_goal,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,13,hard_long_detour_budget,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_a,14,hard_two_dead_ends,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_a,15,hard_move_away_corridor,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,1,easy_open_short_path,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_b,2,easy_single_obstacle_detour,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_b,3,easy_l_wall_one_turn,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_b,4,easy_corner_goal_blocked,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_b,5,easy_two_isolated_obstacles,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_b,6,medium_straight_narrow_corridor,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_b,7,medium_s_shaped_path,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,8,medium_central_obstacle,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,9,medium_single_valid_detour,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,10,medium_dead_end_corridors,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,11,hard_maze_one_dead_end,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,12,hard_u_trap_goal,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,13,hard_long_detour_budget,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_b,14,hard_two_dead_ends,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_b,15,hard_move_away_corridor,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,1,easy_open_short_path,GOAL_REACHED,0.75,mixed_or_variable
gpt_sdd_c,2,easy_single_obstacle_detour,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_c,3,easy_l_wall_one_turn,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_c,4,easy_corner_goal_blocked,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_c,5,easy_two_isolated_obstacles,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_c,6,medium_straight_narrow_corridor,GOAL_REACHED,0.5,mixed_or_variable
gpt_sdd_c,7,medium_s_shaped_path,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,8,medium_central_obstacle,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,9,medium_single_valid_detour,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,10,medium_dead_end_corridors,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,11,hard_maze_one_dead_end,TIMEOUT,0.5,mixed_or_variable
gpt_sdd_c,12,hard_u_trap_goal,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,13,hard_long_detour_budget,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,14,hard_two_dead_ends,TIMEOUT,0.75,mixed_or_variable
gpt_sdd_c,15,hard_move_away_corridor,TIMEOUT,0.75,mixed_or_variable
opus_pdd,1,easy_open_short_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,3,easy_l_wall_one_turn,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,6,medium_straight_narrow_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,1,easy_open_short_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,3,easy_l_wall_one_turn,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,6,medium_straight_narrow_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,1,easy_open_short_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,3,easy_l_wall_one_turn,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,6,medium_straight_narrow_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a1,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,1,easy_open_short_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,3,easy_l_wall_one_turn,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,6,medium_straight_narrow_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a2,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,1,easy_open_short_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,2,easy_single_obstacle_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,3,easy_l_wall_one_turn,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,4,easy_corner_goal_blocked,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,5,easy_two_isolated_obstacles,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,6,medium_straight_narrow_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_a3,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,1,easy_open_short_path,GOAL_REACHED,0.75,mixed_or_variable
opus_pdd_group_b1,2,easy_single_obstacle_detour,GOAL_REACHED,0.5,mixed_or_variable
opus_pdd_group_b1,3,easy_l_wall_one_turn,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b1,4,easy_corner_goal_blocked,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b1,5,easy_two_isolated_obstacles,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b1,6,medium_straight_narrow_corridor,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b1,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,8,medium_central_obstacle,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b1,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,11,hard_maze_one_dead_end,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b1,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b1,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b2,1,easy_open_short_path,GOAL_REACHED,0.75,mixed_or_variable
opus_pdd_group_b2,2,easy_single_obstacle_detour,GOAL_REACHED,0.625,mixed_or_variable
opus_pdd_group_b2,3,easy_l_wall_one_turn,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b2,4,easy_corner_goal_blocked,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b2,5,easy_two_isolated_obstacles,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b2,6,medium_straight_narrow_corridor,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b2,7,medium_s_shaped_path,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b2,8,medium_central_obstacle,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b2,9,medium_single_valid_detour,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b2,10,medium_dead_end_corridors,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b2,11,hard_maze_one_dead_end,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b2,12,hard_u_trap_goal,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b2,13,hard_long_detour_budget,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b2,14,hard_two_dead_ends,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b2,15,hard_move_away_corridor,TIMEOUT,1.0,high_consistency_stagnation
opus_pdd_group_b3,1,easy_open_short_path,GOAL_REACHED,0.625,mixed_or_variable
opus_pdd_group_b3,2,easy_single_obstacle_detour,GOAL_REACHED,0.5,mixed_or_variable
opus_pdd_group_b3,3,easy_l_wall_one_turn,TIMEOUT,0.625,mixed_or_variable
opus_pdd_group_b3,4,easy_corner_goal_blocked,TIMEOUT,0.625,mixed_or_variable
opus_pdd_group_b3,5,easy_two_isolated_obstacles,TIMEOUT,0.625,mixed_or_variable
opus_pdd_group_b3,6,medium_straight_narrow_corridor,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b3,7,medium_s_shaped_path,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b3,8,medium_central_obstacle,TIMEOUT,0.625,mixed_or_variable
opus_pdd_group_b3,9,medium_single_valid_detour,TIMEOUT,0.625,mixed_or_variable
opus_pdd_group_b3,10,medium_dead_end_corridors,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b3,11,hard_maze_one_dead_end,TIMEOUT,0.75,mixed_or_variable
opus_pdd_group_b3,12,hard_u_trap_goal,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b3,13,hard_long_detour_budget,TIMEOUT,0.875,high_consistency_stagnation
opus_pdd_group_b3,14,hard_two_dead_ends,TIMEOUT,0.875,high_consistency_stagnation
