approach,version,challenge_type,scenarios,success_count,success_rate,collision_count,collision_rate,timeout_count,timeout_rate,invalid_count,invalid_rate,average_steps,average_optimal_steps,efficiency_score
pdd_group_b1,1,all,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
pdd_group_b1,2,all,15,3,0.2,0,0.0,12,0.8,0,0.0,20.733,9.467,0.167
pdd_group_b1,3,all,15,3,0.2,0,0.0,12,0.8,0,0.0,20.733,9.467,0.167
pdd_group_b1,4,all,15,3,0.2,0,0.0,12,0.8,0,0.0,20.733,9.467,0.167
pdd_group_b1,5,all,15,3,0.2,0,0.0,12,0.8,0,0.0,20.733,9.467,0.167
pdd_group_b1,6,all,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
pdd_group_b1,7,all,15,3,0.2,0,0.0,12,0.8,0,0.0,20.2,9.467,0.193
pdd_group_b1,8,all,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
pdd_group_b2,1,all,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
pdd_group_b2,2,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
pdd_group_b2,3,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
pdd_group_b2,4,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.533,9.467,0.119
pdd_group_b2,5,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
pdd_group_b2,6,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
pdd_group_b2,7,all,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
pdd_group_b2,8,all,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
pdd_group_b3,1,all,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
pdd_group_b3,2,all,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
pdd_group_b3,3,all,15,5,0.333,0,0.0,10,0.667,0,0.0,18.667,9.467,0.293
pdd_group_b3,4,all,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
pdd_group_b3,5,all,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
pdd_group_b3,6,all,15,5,0.333,0,0.0,10,0.667,0,0.0,19.867,9.467,0.241
pdd_group_b3,7,all,15,3,0.2,0,0.0,12,0.8,0,0.0,20.667,9.467,0.169
pdd_group_b3,8,all,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
