chain,development_method,version,validity_status,controller_path,scenarios,success_count,success_rate,collision_count,collision_rate,timeout_count,timeout_rate,invalid_count,invalid_rate,average_steps,average_optimal_steps,efficiency_score
gpt_pdd_group_a3,PDD,7,valid,controllers/pdd_group_a3/controller_v7.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
gpt_pdd_group_b1,PDD,1,all_invalid,controllers/pdd_group_b1/controller_v1.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_b1,PDD,2,valid,controllers/pdd_group_b1/controller_v2.py,15,3,0.2,0,0.0,12,0.8,0,0.0,20.733,9.467,0.167
gpt_pdd_group_b1,PDD,3,valid,controllers/pdd_group_b1/controller_v3.py,15,3,0.2,0,0.0,12,0.8,0,0.0,20.733,9.467,0.167
gpt_pdd_group_b1,PDD,4,valid,controllers/pdd_group_b1/controller_v4.py,15,3,0.2,0,0.0,12,0.8,0,0.0,20.733,9.467,0.167
gpt_pdd_group_b1,PDD,5,valid,controllers/pdd_group_b1/controller_v5.py,15,3,0.2,0,0.0,12,0.8,0,0.0,20.733,9.467,0.167
gpt_pdd_group_b1,PDD,6,valid,controllers/pdd_group_b1/controller_v6.py,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
gpt_pdd_group_b1,PDD,7,valid,controllers/pdd_group_b1/controller_v7.py,15,3,0.2,0,0.0,12,0.8,0,0.0,20.2,9.467,0.193
gpt_pdd_group_b1,PDD,8,valid,controllers/pdd_group_b1/controller_v8.py,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
gpt_pdd_group_b2,PDD,1,all_invalid,controllers/pdd_group_b2/controller_v1.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_b2,PDD,2,valid,controllers/pdd_group_b2/controller_v2.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
gpt_pdd_group_b2,PDD,3,valid,controllers/pdd_group_b2/controller_v3.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
gpt_pdd_group_b2,PDD,4,valid,controllers/pdd_group_b2/controller_v4.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.533,9.467,0.119
gpt_pdd_group_b2,PDD,5,valid,controllers/pdd_group_b2/controller_v5.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
gpt_pdd_group_b2,PDD,6,valid,controllers/pdd_group_b2/controller_v6.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
gpt_pdd_group_b2,PDD,7,valid,controllers/pdd_group_b2/controller_v7.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.4,9.467,0.133
gpt_pdd_group_b2,PDD,8,valid,controllers/pdd_group_b2/controller_v8.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
gpt_pdd_group_b3,PDD,1,all_invalid,controllers/pdd_group_b3/controller_v1.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_pdd_group_b3,PDD,2,valid,controllers/pdd_group_b3/controller_v2.py,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
gpt_pdd_group_b3,PDD,3,valid,controllers/pdd_group_b3/controller_v3.py,15,5,0.333,0,0.0,10,0.667,0,0.0,18.667,9.467,0.293
gpt_pdd_group_b3,PDD,4,valid,controllers/pdd_group_b3/controller_v4.py,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
gpt_pdd_group_b3,PDD,5,valid,controllers/pdd_group_b3/controller_v5.py,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
gpt_pdd_group_b3,PDD,6,valid,controllers/pdd_group_b3/controller_v6.py,15,5,0.333,0,0.0,10,0.667,0,0.0,19.867,9.467,0.241
gpt_pdd_group_b3,PDD,7,valid,controllers/pdd_group_b3/controller_v7.py,15,3,0.2,0,0.0,12,0.8,0,0.0,20.667,9.467,0.169
gpt_pdd_group_b3,PDD,8,valid,controllers/pdd_group_b3/controller_v8.py,15,4,0.267,0,0.0,11,0.733,0,0.0,19.467,9.467,0.255
gpt_sdd,SDD,1,all_invalid,controllers/sdd/controller_v1.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_sdd_a,SDD,1,all_invalid,controllers/sdd_a/controller_v1.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_sdd_a,SDD,2,valid,controllers/sdd_a/controller_v2.py,15,5,0.333,0,0.0,10,0.667,0,0.0,18.533,9.467,0.299
gpt_sdd_a,SDD,3,valid,controllers/sdd_a/controller_v3.py,15,7,0.467,0,0.0,8,0.533,0,0.0,17.467,9.467,0.313
gpt_sdd_a,SDD,4,valid,controllers/sdd_a/controller_v4.py,15,5,0.333,0,0.0,10,0.667,0,0.0,19.0,9.467,0.234
gpt_sdd_b,SDD,1,all_invalid,controllers/sdd_b/controller_v1.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_sdd_b,SDD,2,valid,controllers/sdd_b/controller_v2.py,15,7,0.467,0,0.0,8,0.533,0,0.0,18.667,9.467,0.281
gpt_sdd_b,SDD,3,valid,controllers/sdd_b/controller_v3.py,15,2,0.133,0,0.0,13,0.867,0,0.0,21.8,9.467,0.085
gpt_sdd_b,SDD,4,valid,controllers/sdd_b/controller_v4.py,15,5,0.333,0,0.0,10,0.667,0,0.0,20.333,9.467,0.207
gpt_sdd_c,SDD,1,all_invalid,controllers/sdd_c/controller_v1.py,15,0,0.0,0,0.0,0,0.0,15,1.0,0.0,9.467,0.0
gpt_sdd_c,SDD,2,valid,controllers/sdd_c/controller_v2.py,15,7,0.467,0,0.0,8,0.533,0,0.0,17.867,9.467,0.313
gpt_sdd_c,SDD,3,valid,controllers/sdd_c/controller_v3.py,15,1,0.067,0,0.0,14,0.933,0,0.0,21.933,9.467,0.067
gpt_sdd_c,SDD,4,valid,controllers/sdd_c/controller_v4.py,15,4,0.267,0,0.0,11,0.733,0,0.0,20.8,9.467,0.171
opus_pdd,PDD,1,valid,controllers/opus_pdd/controller_v1.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,PDD,2,valid,controllers/opus_pdd/controller_v2.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,PDD,3,valid,controllers/opus_pdd/controller_v3.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,PDD,4,valid,controllers/opus_pdd/controller_v4.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd,PDD,5,valid,controllers/opus_pdd/controller_v5.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,PDD,1,valid,controllers/opus_pdd_group_a/controller_v1.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,PDD,2,valid,controllers/opus_pdd_group_a/controller_v2.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,PDD,3,valid,controllers/opus_pdd_group_a/controller_v3.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,PDD,4,valid,controllers/opus_pdd_group_a/controller_v4.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a,PDD,5,valid,controllers/opus_pdd_group_a/controller_v5.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,PDD,1,valid,controllers/opus_pdd_group_a1/controller_v1.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,PDD,2,valid,controllers/opus_pdd_group_a1/controller_v2.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a1,PDD,3,valid,controllers/opus_pdd_group_a1/controller_v3.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a2,PDD,4,valid,controllers/opus_pdd_group_a2/controller_v4.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a2,PDD,5,valid,controllers/opus_pdd_group_a2/controller_v5.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a3,PDD,6,valid,controllers/opus_pdd_group_a3/controller_v6.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
opus_pdd_group_a3,PDD,7,valid,controllers/opus_pdd_group_a3/controller_v7.py,15,0,0.0,0,0.0,15,1.0,0,0.0,23.0,9.467,0.0
